Disease,What is it?,Symptoms,Cause,Prevention,Treatment,Why it matters
Depressive disorder (depression),"Overview Depressive disorder (also known as depression) is a common mental disorder. It involves a depressed mood or loss of pleasure or interest in activities for long periods of time. Depression is different from regular mood changes and feelings about everyday life. It can affect all aspects of life, including relationships with family, friends and community. It can result from or lead to problems at school and at work. ","Symptoms and patterns During a depressive episode, a person experiences a depressed mood (feeling sad, irritable, empty). They may feel a loss of pleasure or interest in activities. ","An estimated 3.8% of the population experience depression, including 5% of adults (4% among men and 6% among women), and 5.7% of adults older than 60 years. Approximately 280 million people in the world have depression (1). Depression is about 50% more common among women than among men. Worldwide, more than 10% of pregnant women and women who have just given birth experience depression (2). More than 700 000 people die due to suicide every year. Suicide is the fourth leading cause of death in 15–29-year-olds. Although there are known, effective treatments for mental disorders, more than 75% of people in low- and middle-income countries receive no treatment (3). Barriers to effective care include a lack of investment in mental health care, lack of trained health-care providers and social stigma associated with mental disorders. ","Contributing factors and prevention Depression results from a complex interaction of social, psychological, and biological factors. People who have gone through adverse life events (unemployment, bereavement, traumatic events) are more likely to develop depression. Depression can, in turn, lead to more stress and dysfunction and worsen the affected person’s life situation and the depression itself. ",Diagnosis and treatment There are effective treatments for depression. These include psychological treatment and medications. Seek care if you have symptoms of depression. ,"A depressive episode can be categorized as mild, moderate, or severe depending on the number and severity of symptoms, as well as the impact on the individual’s functioning. There are different patterns of depressive episodes including: "
Diabetes,Key facts The number of people living with diabetes rose from 200 million in 1990 to 830 million in 2022. Prevalence has been rising more rapidly in low- and middle-income countries than in high-income countries. Overview ,"Symptoms Symptoms of diabetes may occur suddenly. In type 2 diabetes, the symptoms can be mild and may take many years to be noticed. ","Diabetes causes blindness, kidney failure, heart attacks, stroke and lower limb amputation. In 2021, diabetes and kidney disease due to diabetes caused over 2 million deaths. In addition, around 11% of cardiovascular deaths were caused by high blood glucose. ","A healthy diet, regular physical activity, maintaining a normal body weight and avoiding tobacco use are ways to prevent or delay the onset of type 2 diabetes. Diabetes can be treated and its consequences avoided or delayed with diet, physical activity, medication and regular screening and treatment for complications. ","More than half of people living with diabetes did not take medication for their diabetes in 2022. Diabetes treatment coverage was lowest in low- and middle-income countries. Diabetes causes blindness, kidney failure, heart attacks, stroke and lower limb amputation. ",
Diarrhoeal disease,Key facts Overview ,,Diarrhoeal disease is the third leading cause of death in children 1–59 months of age. It is both preventable and treatable. Each year diarrhoea kills around 443 832 children under 5 and an additional 50 851 children aged 5 to 9 years. ,"A significant proportion of diarrhoeal disease can be prevented through safe drinking-water and adequate sanitation and hygiene. Globally, there are nearly 1.7 billion cases of childhood diarrhoeal disease every year. ","Interventions to prevent diarrhoea, including safe drinking-water, use of improved sanitation and hand washing with soap, can reduce disease risk. Diarrhoea should be treated with oral rehydration solution (ORS), a solution of clean water, sugar and salt. In addition, a 10–14 day supplemental treatment course of dispersible zinc tablets shortens diarrhoea duration and improves outcomes. There are 3 clinical types of diarrhoea: ",
Dioxins,"Key facts Dioxins are a group of chemically related compounds that are persistent environmental pollutants (POPs). Dioxins are found throughout the world in the environment and they accumulate in the food chain, mainly in the fatty tissue of animals. ",,"Dioxins are highly toxic and can cause reproductive and developmental problems, damage the immune system, interfere with hormones and cause cancer. All people have background exposure to dioxins, which is not expected to affect human health. However, due to the highly toxic potential, efforts are needed to reduce current background exposure. ","Prevention or reduction of human exposure is best done via source-directed measures, i.e. strict control of industrial processes to reduce formation of dioxins. Overview ",,"Many countries monitor their food supply for dioxins. This has led to early detection of contamination and has often prevented larger impacts. In many instances dioxin contamination is introduced via contaminated animal feed, e.g. incidences of increased dioxin levels in milk or animal feed were traced back to clay, fat or citrus pulp pellets used in the production of the animal feed. Although all countries can be affected, most contamination cases have been reported in industrialized countries where adequate food contamination monitoring, greater awareness of the hazard and better regulatory controls are available. "
Diphtheria,Key facts Overview ,"The diphtheria toxin causes damage to the respiratory tract and can spread throughout the body.  Common symptoms include fever, sore throat and swelling of the neck glands. Being vaccinated is the best way to prevent getting sick with diphtheria or spreading it to other people. The vaccine is safe and helps your body fight off the infection. ","Diphtheria is a disease caused by a bacterium that affects the upper respiratory tract and less often the skin. It also produces a toxin that damages the heart and the nerves. Diphtheria is a vaccine preventable disease, but multiple doses and booster doses are needed to produce and sustain immunity. ","The COVID-19 pandemic impacted delivery of routine immunization services and surveillance activities.  These setbacks have left many children susceptible to vaccine preventable diseases such as diphtheria. No WHO region is completely free from diphtheria, and areas with low immunization coverage with the diphtheria toxoid-containing vaccine allow the bacteria to circulate, increasing the likelihood of outbreaks and putting all unvaccinated and under vaccinated individuals at risk. ","For unvaccinated individuals, without proper treatment, diphtheria can be fatal in around 30% of cases, with young children at higher risk of dying (1). Recent diphtheria outbreaks stress the importance of sustaining high levels of vaccination coverage in communities across the life course. ",
Disability,Overview ,,"Disability is part of being human and is integral to the human experience. It results from the interaction between health conditions such as dementia, blindness or spinal cord injury, and a range of environmental and personal factors. An estimated 1.3 billion people – or 16% of the global population – experience a significant disability today. This number is growing because of an increase in noncommunicable diseases and people living longer. Persons with disabilities are a diverse group, and factors such as sex, age, gender identity, sexual orientation, religion, race, ethnicity and their economic situation affect their experiences in life and their health needs. Persons with disabilities die earlier, have poorer health, and experience more limitations in everyday functioning than others. Factors contributing to health inequities ",The World Health Assembly Resolution WHA74.8 on the highest attainable standard of health for persons with disabilities calls for Member States to ensure that persons with disabilities receive effective health services as part of universal health coverage; equal protection during emergencies; and equal access to cross-sectoral public health interventions. Achieving health for all ,"Structural factors: Persons with disabilities experience ableism, stigma and discrimination in all facets of life, which affects their physical and mental health. Laws and policies may deny them the right to make their own decisions and allow a range of harmful practices in the health sector, such as forced sterilization, involuntary admission and treatment, and even institutionalization. Social determinants of health: Poverty, exclusion from education and employment, and poor living conditions all add to the risk of poor health and unmet health care needs among persons with disabilities. Gaps in formal social support mechanisms mean that persons with disabilities are reliant on support from family members to engage in health and community activities, which not only disadvantages them but also their caregivers (who are mostly women and girls). ",
Dracunculiasis (Guinea-worm disease),"Key facts Dracunculiasis is a crippling parasitic disease on the verge of eradication, with 13 human cases reported in 2024 (provisional) and 14 in 2023. From the time infection occurs, it takes 10–14 months for the transmission cycle to complete, at which point a mature female worm emerges from the body. Overview ",,"Dracunculiasis, also called Guinea-worm disease, is a parasitic disease transmitted through contaminated drinking water, causing a painful blister from which a worm slowly emerges. It results from ingesting the parasite Dracunculus medinensis. Although it rarely causes death, infected individuals are often incapacitated for weeks or months. This disease predominantly affects rural, underserved, and remote populations that rely on open, stagnant water sources (e.g., ponds) for drinking-water. Scope of the problem ","Elimination and then eradication of dracunculiasis have been championed by the World Health Assembly (WHA) via several key resolutions: WHA39.21 (1986), WHA42.29 (1989), WHA44.5 (1991), WHA57.9 (2004), and WHA64.16 (2011). In May 1981, the Interagency Steering Committee for Cooperative Action for the International Drinking Water Supply and Sanitation Decade (1981–1990) identified dracunculiasis elimination as a benchmark of success for the Decade. That same year, the WHA adopted resolution WHA34.25, recognizing the opportunity to interrupt transmission of dracunculiasis during the Decade. This led WHO and the United States Centers for Disease Control and Prevention to develop a systematic strategy and technical guidance. In 1986, The Carter Center joined the global campaign against the disease, in partnership with WHO and UNICEF. Later, the WHA, through resolution WHA64.16 (2011), urged all Member States where dracunculiasis was still endemic to expedite interrupting transmission and strengthen nationwide surveillance measures necessary for its eradication. ","Community education: Highlighting the importance of early case detection and reporting, alongside preventing animals from contaminating water, and proper management of aquatic animals’ waste. Case containment: Immediately isolating infected individuals or animals, providing wound care, and proactive tethering of domestic dogs and cats. ",
Drinking-water,Overview ,,"Diarrhoea is the most widely known disease linked to contaminated food and water but there are other hazards. In 2021, over 251.4 million people required preventative treatment for schistosomiasis – an acute and chronic disease caused by parasitic worms contracted through exposure to infested water. In many parts of the world, insects that live or breed in water carry and transmit diseases such as dengue fever. Some of these insects, known as vectors, breed in clean, rather than dirty water, and household drinking water containers can serve as breeding grounds. The simple intervention of covering water storage containers can reduce vector breeding and may also reduce faecal contamination of water at the household level. ","296 million people taking water from unprotected wells and springs; and 115 million people collecting untreated surface water from lakes, ponds, rivers and streams. ","Safe and readily available water is important for public health, whether it is used for drinking, domestic use, food production or recreational purposes. Improved water supply and sanitation, and better management of water resources, can boost countries’ economic growth and can contribute greatly to poverty reduction. In 2010, the UN General Assembly explicitly recognized the human right to water and sanitation. Everyone has the right to sufficient, continuous, safe, acceptable, physically accessible and affordable water for personal and domestic use. ","With children particularly at risk from water-related diseases, access to improved sources of water can result in better health, and therefore better school attendance, with positive longer-term consequences for their lives. Challenges "
Drowning,Key facts There are around 300 000 annual drowning deaths worldwide. ,,Drowning is the fourth leading cause of death for children aged 1–4 years and the third leading cause of death for children aged 5–14 years. Ninety-two percent of drowning deaths occur in low- and middle-income countries. ,Resolutions endorsed by the United Nations General Assembly and the World Health Assembly provide a roadmap for global drowning prevention efforts. Overview ,"Community-based, supervised childcare for pre-school children can reduce drowning risk and has other proven health benefits. Teaching school-age children basic swimming, water safety and safe rescue skills is another approach. But these efforts must be undertaken with an emphasis on safety, and an overall risk management that includes a safety-tested curricula, a safe training area, screening and student selection, and student-instructor ratios established for safety. Preventing drowning: Practical guidance for the provision of day-care, basic swimming and water safety skills, and safe rescue and resuscitation training (2022) ",Drowning disproportionately impacts children and young people. Children aged under 5 years account for nearly a quarter of all drowning deaths. Drowning is the fourth leading cause of death for children aged 1–4 years and the third leading cause of death for children aged 5–14 years. 
E. coli,Overview ,"Symptoms Symptoms of the diseases caused by STEC include abdominal cramps and diarrhoea that may in some cases progress to bloody diarrhoea (haemorrhagic colitis). Fever and vomiting may also occur. The incubation period can range from 3 to 8 days, with a median of 3 to 4 days. Most patients recover within 10 days, but in a small proportion of patients (particularly young children and the elderly), the infection may lead to a life-threatening disease, such as haemolytic uraemic syndrome (HUS). HUS is characterized by acute renal failure, haemolytic anaemia and thrombocytopenia (low blood platelets). ","Escherichia coli (E. coli) is a bacterium that is commonly found in the gut of humans and warm-blooded animals. Most strains of E. coli are harmless. Some strains however, such as Shiga toxin-producing E. coli (STEC), can cause severe foodborne disease. It is transmitted to humans primarily through consumption of contaminated foods, such as raw or undercooked ground meat products, raw milk, and contaminated raw vegetables and sprouts. STEC produces toxins, known as Shiga-toxins because of their similarity to the toxins produced by Shigella dysenteriae. STEC can grow in temperatures ranging from 7 °C to 50 °C, with an optimum temperature of 37 °C. Some STEC can grow in acidic foods, down to a pH of 4.4, and in foods with a minimum water activity (aW) of 0.95. ","Prevention The prevention of infection requires control measures at all stages of the food chain, from agricultural production on the farm to processing, manufacturing and preparation of foods in both commercial establishments and household kitchens. ",Persons who experience bloody diarrhoea or severe abdominal cramps should seek medical care. Antibiotics are not part of the treatment of patients with STEC disease and may possibly increase the risk of subsequent HUS. Sources and transmission ,
Ebola disease,"Key facts Ebola disease is a severe, often fatal illness in humans. ",Early intensive supportive care with rehydration and the treatment of symptoms improves survival. Approved vaccines and treatments are only available for one of the viruses (Ebola virus) and are under development for the others. ,"Three different viruses are known to cause large Ebola disease outbreaks: Ebola virus, Sudan virus and Bundibugyo virus. The average Ebola disease case fatality rate is around 50%. Case fatality rates have varied from 25–90% in past outbreaks. ","Outbreak control relies on a package of interventions including intensive supportive care of patients, infection prevention and control, disease surveillance and contact tracing, laboratory services, safe and dignified burials, vaccination if relevant, and social mobilization. Overview ","While there are licensed vaccines and therapeutics for Ebola virus disease, there is no approved vaccine or treatment for other Ebola diseases, such as SVD or BVD. Candidate products are in development. Early intensive supportive care including rehydration and treatment of specific symptoms, can improve survival. Seeking early care can be lifesaving. ","The impact on the central nervous system can result in confusion, irritability and aggression. Diagnosis "
Echinococcosis,"alveolar echinococcosis, caused by infection with E. multilocularis; ",Signs and symptoms Cystic echinococcosis / hydatid disease ,"Human echinococcosis is a zoonotic disease (a disease that is transmitted to humans from animals) that is caused by parasites, namely tapeworms of the genus Echinococcus. Echinococcosis occurs in 4 forms: cystic echinococcosis, also known as hydatid disease or hydatidosis, caused by infection with a species complex centred on Echinococcus granulosus; ","Surveillance, prevention and control Robust surveillance data is fundamental in order to show burden of disease and to evaluate progress and success of control programmes. However, as for other neglected diseases which are focused in underserved populations and remote areas, data is especially scarce and will need more attention if control programmes are to be implemented and measured. ","The asymptomatic incubation period of the disease can last many years until hydatid cysts grow to an extent that triggers clinical signs, however approximately half of all patients that receive medical treatment for infection do so within a few years of their initial infection with the parasite. Abdominal pain, nausea and vomiting are commonly seen when hydatids occur in the liver. If the lung is affected, clinical signs include chronic cough, chest pain and shortness of breath. Other signs depend on the location of the hydatid cysts and the pressure exerted on the surrounding tissues. Non-specific signs include anorexia, weight loss and weakness. ","Mongolia has recognized the importance of echinococcosis as a public-health problem and, at the request of the Ministry of Health, WHO in 2013 conducted an initial situation analysis. The analysis focused on implementing early diagnosis and building a basic surveillance system covering humans and animals to understand the actual burden of the disease. A cross-sectional study conducted in Bulgaria, Romania and Turkey in 2014-2015, found that the true burden of CE is poorly understood and that many cases remain asymptomatic, with no appropriate medical diagnosis and treatment. The study assessed the prevalence of the disease among rural populations in the three countries. "
El Niño Southern Oscillation (ENSO),"Key facts El Niño Southern Oscillation (ENSO) is one of the most important sources of annual global climate variability, second only to the earth–sun relationship that drives the seasons. El Niño and its counterpart La Niña are associated with characteristic patterns of rainfall and temperature, which can include extreme events such as flooding and drought. Overview ",,"Any transition from a La Niña to an El Niño phase will likely produce a rise in global average surface temperature, with warming tendencies affecting the development of extreme heat in the Southern Hemisphere. The joint influence of both El Niño warming and rising global temperatures caused by climate change amplifies the potential for extreme heat in many regions, creating deadly conditions for millions of people. Learn more about heat and climate change ","Observed associations between ENSO and health impacts are not linear or unequivocal but depend on the ENSO intensity, time of the year and other factors. Impacts tend to be more intense in less developed countries where populations have limited coping capacity and are often more vulnerable to the impacts of extreme weather and climate. Their livelihoods are often highly dependent on natural resources and rain-fed agricultural practices; housing typically lacks protection against extreme weather events; access to health care and safe drinking-water and adequate sanitation facilities may be limited; and infectious diseases determined by environmental conditions are often pre-existing. Vector-borne diseases ",,"ENSO affects many parts of the globe, but most intensely impacts the tropics, including countries and areas in Africa, Latin America and South and South-East Asia that are particularly vulnerable to natural hazards. By altering climate conditions, ENSO can have severe effects on key health determinants through, among other factors, impacts on food security, air and water quality, ecosystems and health infrastructure safety. ENSO is also associated with altered transmission patterns of vector-borne, rodent-borne and waterborne diseases, as well as fish and shellfish poisoning. "
Electricity in health-care facilities,Overview ,,,,"Electricity is needed to power the most basic services in health-care facilities, from lighting and communications to clean water supply. Reliable power is also crucial for the medical equipment necessary to safely manage childbirth or to ensure immunization as well as for undertaking most of the routine and emergency procedures. Reliable energy provision – particularly electricity – is a major enabler of universal health coverage. A number of clean and cost-effective energy solutions, such as based on solar photovoltaic systems, are available and rapidly deployable to electrify health-care facilities sustainably and increase their climate resiliency. Yet, as highlighted in the report Energizing health: accelerating electricity access in health-care facilities, close to 1 billion people in low- and lower-middle-income countries are estimated to be served by health-care facilities without reliable electricity access or with no electricity access at all. In low- and lower-middle-income countries of South Asia and sub-Saharan Africa, approximately 12% and 15% of health-care facilities, respectively, have no access to electricity whatsoever. There is a sharp urban–rural divide: urban health-care facilities often report more access to electricity and more reliable electricity than rural facilities in the same country. ","WHO supports countries ensure a reliable supply of electricity for health-care facilities by providing the knowledge and tools to a) understand the energy access situation and the energy needs of health-care facilities in their country, b) build the institutional capacity to identify the most suitable energy solutions to meet their needs, c) build an enabling framework to accelerate health-care facility electrification, and d) support high-level advocacy, coordination and mobilization of adequate resources for impact on the ground. Data gathering, analysis and harmonization "
Electronic waste (e-waste),"Key facts E-waste is one of the fastest growing solid waste streams in the world (1). In 2022, an estimated 62 million tonnes of e-waste were produced globally. Only 22.3% was documented as formally collected and recycled (2). Overview ",,"Electronic waste (e-waste) is one of the fastest growing solid waste streams in the world (1). Less than a quarter of e-waste produced globally in 2022 was known to be formally recycled; however, e-waste streams contain valuable and finite resources that can be reused if they are recycled appropriately. E-waste has therefore become an important income stream for individuals and some communities. People living in low- and middle-income (LMICs), particularly children, face the most significant risks from e-waste due to lack of appropriate regulations and enforcement, recycling infrastructure and training. Despite international regulations targeting the control of the transport of e-waste from one country to another, its transboundary movement to LMICs continues, frequently illegally. E-waste is considered hazardous waste as it contains toxic materials and can produce toxic chemicals when recycled inappropriately. Many of these toxic materials are known or suspected to cause harm to human health, and several are included in the 10 chemicals of public health concern, including dioxins, lead and mercury. Inferior recycling of e-waste is a threat to public health and safety. Exposure to e-waste ",Prevention and management National and international actions are essential to protect communities from unsound e-waste recycling activities. Actions that can be taken include: ,developing and implementing national e-waste management legislation that protects public health; incorporating health protection measures into national legislation; ,"Children and pregnant women are at high risk to hazardous substances released through informal e-waste recycling activities due to their unique vulnerabilities. Children have different exposures to e-waste recycling activities than adults. E-waste recycling activities release toxic chemicals that can cross the placenta and may contaminate breastmilk, for example mercury. Fetuses and young children are highly sensitive to many pollutants released through e-waste recycling due to their rapidly developing bodies, including their respiratory, immune and central nervous systems. E-waste contains several known neurotoxicants, including lead and mercury, that may disrupt the development of the central nervous system during pregnancy, infancy, childhood and adolescence. Some harmful toxicants from e-waste may also impact the structural development and function of the lungs. Changes to children’s developing systems may cause irreparable harm and affect them for the rest of their lives. Prevention and management "
Emergency contraception,What is emergency contraception? ,,"If vomiting occurs within 2 hours of taking a dose, the dose should be repeated. ECPs with LNG or with UPA are preferable to COCs because they cause less nausea and vomiting. Routine use of anti-emetics before taking ECPs is not recommended. Drugs used for emergency contraception do not harm future fertility. There is no delay in the return to fertility after taking ECPs. ",Emergency contraception refers to methods of contraception that can be used to prevent pregnancy after sexual intercourse. These are recommended for use within 5 days but are more effective the sooner they are used after the act of intercourse. Mode of action ,"The WHO Medical eligibility criteria for contraceptive use states that IUD insertion may further increase the risk of PID among women at increased risk of sexually transmitted infections (STIs), although limited evidence suggests that this risk if low. Current algorithms for determining increased risk of STIs have poor predictive value. Risk of STIs varies by individual behaviour and local STI prevalence. Therefore, while many women at increased risk of STIs can generally have an IUD inserted, some women at a very high likelihood of STIs should generally not have an IUD inserted until appropriate testing and treatment occur. Medical eligibility criteria for contraceptive use ",
Endometriosis,Overview ,"The cause of endometriosis is unknown. There is no known way to prevent endometriosis. There is no cure, but its symptoms can be treated with medicines or, in some cases, surgery. It causes a chronic inflammatory reaction that may result in the formation of scar tissue (adhesions, fibrosis) within the pelvis and other parts of the body. Several lesion types have been described: ",Endometriosis is a disease in which tissue similar to the lining of the uterus grows outside the uterus. It can cause severe pain in the pelvis and make it harder to get pregnant. Endometriosis can start at a person’s first menstrual period and last until menopause. ,"Endometriosis has significant social, public health and economic implications. It can decrease quality of life due to severe pain, fatigue, depression, anxiety and infertility. Some individuals with endometriosis experience debilitating pain that prevents them from going to work or school. Painful sex due to endometriosis can lead to interruption or avoidance of intercourse and affect the sexual health of affected individuals and their partners. Addressing endometriosis will empower those affected by it by supporting their human right to the highest standard of sexual and reproductive health, quality of life and overall well-being. Prevention ","Endometriosis symptoms are variable and broad, meaning that healthcare workers may not easily diagnose it. Individuals with symptoms may not be aware of the condition. Causes ","Impact Endometriosis has significant social, public health and economic implications. It can decrease quality of life due to severe pain, fatigue, depression, anxiety and infertility. Some individuals with endometriosis experience debilitating pain that prevents them from going to work or school. Painful sex due to endometriosis can lead to interruption or avoidance of intercourse and affect the sexual health of affected individuals and their partners. Addressing endometriosis will empower those affected by it by supporting their human right to the highest standard of sexual and reproductive health, quality of life and overall well-being. "
Epilepsy,"Overview Epilepsy is a chronic noncommunicable disease of the brain that affects around 50 million people worldwide. It is characterized by recurrent seizures, which are brief episodes of involuntary movement that may involve a part of the body (partial) or the entire body (generalized) and are sometimes accompanied by loss of consciousness and control of bowel or bladder function. Seizure episodes are a result of excessive electrical discharges in a group of brain cells. Different parts of the brain can be the site of such discharges. Seizures can vary from the briefest lapses of attention or muscle jerks to severe and prolonged convulsions. Seizures can also vary in frequency, from less than one per year to several per day. ","Signs and symptoms Characteristics of seizures vary and depend on where in the brain the disturbance first starts, and how far it spreads. Temporary symptoms occur, such as loss of awareness or consciousness, and disturbances of movement, sensation (including vision, hearing and taste), mood, or other cognitive functions. ","A great proportion of the causes of death related to epilepsy, especially in low- and middle-income countries, are potentially preventable, such as falls, drowning, burns and prolonged seizures. Rates of disease ","Globally, an estimated 5 million people are diagnosed with epilepsy each year. In high-income countries, there are estimated to be 49 per 100 000 people diagnosed with epilepsy each year. In low- and middle-income countries, this figure can be as high as 139 per 100 000. This is likely due to the increased risk of endemic conditions such as malaria or neurocysticercosis; the higher incidence of road traffic injuries; birth-related injuries; and variations in medical infrastructure, the availability of preventive health programmes and accessible care. Close to 80% of people with epilepsy live in low- and middle-income countries. Causes ","Epilepsy accounts for a significant proportion of the world’s disease burden, affecting around 50 million people worldwide. The estimated proportion of the general population with active epilepsy (i.e. continuing seizures or with the need for treatment) at a given time is between 4 and 10 per 1000 people. Globally, an estimated 5 million people are diagnosed with epilepsy each year. In high-income countries, there are estimated to be 49 per 100 000 people diagnosed with epilepsy each year. In low- and middle-income countries, this figure can be as high as 139 per 100 000. This is likely due to the increased risk of endemic conditions such as malaria or neurocysticercosis; the higher incidence of road traffic injuries; birth-related injuries; and variations in medical infrastructure, the availability of preventive health programmes and accessible care. Close to 80% of people with epilepsy live in low- and middle-income countries. ","One seizure does not signify epilepsy (up to 10% of people worldwide have one seizure during their lifetime). Epilepsy is defined as having two or more unprovoked seizures. Epilepsy is one of the world’s oldest recognized conditions, with written records dating back to 4000 BCE. Fear, misunderstanding, discrimination and social stigma have surrounded epilepsy for centuries. This stigma continues in many countries today and can impact on the quality of life for people with the disease and their families. Signs and symptoms "
Essential medicines,Key facts Overview ,,,"While the cost of a medicine is a consideration in the selection process, a high absolute cost of a medicine does not necessarily prevent it from being added to the WHO Model List if it otherwise meets the required selection criteria. Since 2002, affordability has evolved from being a precondition of listing a medicine on the Model list to being a consequence. Listing a medicine on the Model List is one step in a series of actions that can lead to lower costs, better affordability and greater access. The number of patented medicines on the Model List has increased over time from 17/319 (5%) in 2003 to 82/502 (16%) in 2023. ","Essential medicines treat the priority healthcare needs of the population. Essential medicines should be available, affordable and of assured quality at all times. ","Impact and implementation Over 150 countries have adopted national lists of essential medicines based on the WHO Model List. Essential medicines lists serve as a basis for procurement and supply of medicines in the public sector, reimbursement and insurance schemes, medicine donations and local medicine production (1). When properly implemented, the essential medicines concept can help improve health outcomes and achieve progress towards universal health coverage. The essential medicines concept has been successfully implemented in various countries and regions. Studies have shown that essential medicines lists are associated with greater availability of essential medicines than non-essential medicines (2), increased access (3), better prescribing and quality of care, and cost savings (4). "
Falls,,,"Globally, falls are a major public health problem. An estimated 684 000 fatal falls occur each year, making it the second leading cause of unintentional injury death, after road traffic injuries. Over 80% of fall-related fatalities occur in low- and middle-income countries, with regions of the Western Pacific and South East Asia accounting for 60% of these deaths. In all regions of the world, death rates are highest among adults over the age of 60 years. Though not fatal, approximately 37.3 million falls severe enough to require medical attention occur each year. Globally, falls are responsible for over 38 million DALYs (disability-adjusted life years) lost each year(2), and result in more years lived with disability than transport injury, drowning, burns and poisoning combined. ","The financial costs from fall-related injuries are substantial. For people aged 65 years or older, the average health system cost per fall injury in the Republic of Finland and Australia are US$ 3611 and US$ 1049 respectively. Evidence from Canada suggests the implementation of effective prevention strategies with a subsequent 20% reduction in the incidence of falls among children under 10 years of age could create a net savings of over US$ 120 million each year. Who is at risk? ","A fall is defined as an event which results in a person coming to rest inadvertently on the ground or floor or other lower level. Fall-related injuries may be fatal or non-fatal(1) though most are non-fatal. For example, of children in the People's Republic of China, for every death due to a fall, there are 4 cases of permanent disability, 13 cases requiring hospitalization for more than 10 days, 24 cases requiring hospitalization for 1–9 days and 690 cases seeking medical care or missing work/school. The problem ","While nearly 40% of the total DALYs lost due to falls worldwide occurs in children, this measurement may not accurately reflect the impact of fall-related disabilities for older individuals who have fewer life years to lose. In addition, those individuals who fall and suffer a disability, particularly older people, are at a major risk for subsequent long-term care and institutionalization. The financial costs from fall-related injuries are substantial. For people aged 65 years or older, the average health system cost per fall injury in the Republic of Finland and Australia are US$ 3611 and US$ 1049 respectively. Evidence from Canada suggests the implementation of effective prevention strategies with a subsequent 20% reduction in the incidence of falls among children under 10 years of age could create a net savings of over US$ 120 million each year. "
Family planning/contraception methods,"Key facts Among the 1.9 billion women of reproductive age group (15–49 years) worldwide in 2021, 1.1 billion have a need for family planning; of these, 874 million are using modern contraceptive methods, and 164 million have an unmet need for contraception (1). The proportion of the need for family planning satisfied by modern methods, Sustainable Development Goals (SDG) indicator 3.7.1, has stagnated globally at around 77% from 2015 to 2022 but increased from 52% to 58% in sub-Saharan Africa (2). Overview ",,,"Only one contraceptive method, condoms, can prevent both a pregnancy and the transmission of sexually transmitted infections, including HIV. Use of contraception advances the human right of people to determine the number and spacing of their children. ",,"Impact Use of contraception prevents pregnancy-related health risks for women, especially for adolescent girls, and when expressed in terms of interbirth intervals, children born within 2 years of an elder sibling have a 60% increased risk of infant death, and those born within 2–3 years a 10% increased risk, compared with those born after an interval of 3 years or longer (4). It offers a range of potential non-health benefits that encompass expanded education opportunities and empowerment for women, and sustainable population growth and economic development for countries. "
Female genital mutilation,"Key facts More than 230 million girls and women alive today have undergone female genital mutilation (FGM) in 30 countries in Africa, the Middle East and Asia where FGM is practiced. FGM is mostly carried out on young girls between infancy and age 15. ",,,"WHO supports a holistic health sector response to FGM prevention and care, by developing guidance and resources for health workers to prevent FGM and manage its complications and by supporting countries to adapt and implement these resources to local contexts. WHO also generates evidence to improve the understanding of FGM and what works to end this harmful practice. Since then, WHO has developed a global strategy against FGM medicalization with partner organizations and continues to support countries in its implementation. ","Treatment of the health complications of FGM is estimated to cost health systems US$ 1.4 billion per year, a number expected to rise unless urgent action is taken towards its abandonment. Overview ",
Food additives,"Key facts Food additives are substances primarily added to processed foods, or other foods produced on an industrial scale, for technical purposes, e.g. to improve safety, increase the amount of time a food can be stored, or modify sensory properties of food. Food additives are substances not normally consumed as a food by themselves and not normally used as typical ingredients in foods. Most minimally processed and unprocessed foods do not contain food additives. Overview ",,"Preservatives can slow decomposition caused by mould, air, bacteria or yeast. In addition to maintaining the quality of the food, preservatives help control contamination that can cause foodborne illness, including life-threatening botulism. Colouring is added to food to replace colours lost during processing or other production, or to make food appear more attractive. ","The safety assessments completed by JECFA are used by the joint intergovernmental food standard-setting body of FAO and WHO, the Codex Alimentarius Commission, to establish levels for maximum use of additives in food and drinks. Codex standards are the reference for national standards for consumer protection, and for the international trade in food, so that consumers everywhere can be confident that the food they eat meets the agreed standards for safety and quality, no matter where it was produced. Once a food additive has been found to be safe for use by JECFA and maximum use levels have been established in the Codex General Standard for Food Additives, national food regulations need to be implemented permitting the actual use of a food additive. ","The Codex Alimentarius Commission also establishes standards and guidelines on food labelling. These standards are implemented in most countries, and food manufacturers are obliged to indicate which additives are in their products. In the European Union, for example, there is legislation governing labelling of food additives according to a set of pre-defined E-numbers. People who have allergies or sensitivities to certain food additives should check labels carefully. WHO encourages national authorities to monitor and ensure that food additives in food and drinks produced in their countries comply with permitted uses, conditions and legislation. National authorities should oversee the food business, which carries the primary responsibility for ensuring that the use of a food additive is safe and complies with legislation. ",
